"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.303055050E-1,6.778327620E1,2.482343740E1,2.395820599E2,NaN,NaN,2.690800095E1,4.106118679E0
1.127525616E0,6.778327620E1,2.482343740E1,2.395820599E2,NaN,NaN,3.248699951E1,5.221918583E0
4.244877231E0,6.778329833E1,2.482344000E1,2.500820108E2,1.703730583E0,3.182399902E2,3.200000048E0,1.350000000E1
5.244800001E0,6.778329333E1,2.482348000E1,2.496820705E2,1.174081445E0,3.285899963E2,2.500000000E0,1.339999962E1
6.245312385E0,6.778328833E1,2.482347833E1,2.498820803E2,1.042312503E0,3.378500061E2,2.200000048E0,1.419999981E1
7.247114462E0,6.778328667E1,2.482344000E1,2.493820384E2,1.097387791E0,3.239200134E2,2.000000000E0,1.369999981E1
8.245149308E0,6.778328833E1,2.482341833E1,2.492820085E2,1.211656094E0,3.217000122E2,1.899999976E0,1.450000000E1
9.246205616E0,6.778329000E1,2.482338833E1,2.492819687E2,1.025326610E0,3.303900146E2,1.799999952E0,1.430000019E1
1.050739969E1,6.778330000E1,2.482337500E1,2.489819291E2,1.089152217E0,3.298900146E2,1.799999952E0,1.480000019E1
1.150825023E1,6.778330667E1,2.482336667E1,2.493819034E2,7.937016487E-1,3.433699951E2,1.899999976E0,1.530000019E1
1.250852316E1,6.778331333E1,2.482336833E1,2.496818897E2,8.472327590E-1,3.592000122E2,2.000000000E0,1.569999981E1
1.350801269E1,6.778332167E1,2.482336667E1,2.491818681E2,8.595861197E-1,1.742000008E1,2.000000000E0,1.729999924E1
1.450819939E1,6.778332333E1,2.482337667E1,2.487818761E2,9.316472411E-1,1.247999954E1,2.000000000E0,1.889999962E1
1.550819208E1,6.778333333E1,2.482337500E1,2.483818505E2,1.046944976E0,3.493200073E2,1.899999976E0,2.039999962E1
1.650746039E1,6.778334500E1,2.482337500E1,2.487818230E2,7.720833421E-1,3.454899902E2,1.899999976E0,2.100000000E1
1.750753300E1,6.778335333E1,2.482338667E1,2.490818173E2,4.344255626E-1,7.294999695E1,1.899999976E0,1.839999962E1
1.850814400E1,6.778335833E1,2.482337667E1,2.491817936E2,7.870102525E-1,2.984000015E1,1.799999952E0,1.879999924E1
1.950839546E1,6.778336167E1,2.482337500E1,2.489817837E2,1.000105262E0,1.720000029E0,1.700000048E0,1.860000038E1
2.050909939E1,6.778337333E1,2.482336833E1,2.485817482E2,1.149374723E0,1.172999954E1,1.600000024E0,1.870000076E1
2.150906800E1,6.778338667E1,2.482336500E1,2.482817128E2,9.815752506E-1,3.571000061E2,1.500000000E0,1.750000000E1
2.250740377E1,6.778339833E1,2.482335667E1,2.482816753E2,9.084846973E-1,3.400000000E2,1.500000000E0,1.689999962E1
2.350866492E1,6.778341000E1,2.482334500E1,2.481816338E2,1.071651697E0,3.201900024E2,1.500000000E0,1.650000000E1
2.450867877E1,6.778342167E1,2.482332833E1,2.481815864E2,9.043669701E-1,3.169700012E2,1.500000000E0,1.510000038E1
2.550804769E1,6.778343000E1,2.482331667E1,2.484815528E2,8.940724730E-1,3.147500000E2,1.600000024E0,1.460000038E1
2.650911392E1,6.778343833E1,2.482330333E1,2.486815172E2,8.745130301E-1,3.062300110E2,1.600000024E0,1.629999924E1
2.750856469E1,6.778344667E1,2.482328667E1,2.488814776E2,9.074552655E-1,3.027900085E2,1.600000024E0,1.760000038E1
2.850874739E1,6.778345500E1,2.482326333E1,2.487814300E2,9.352502823E-1,3.110000000E2,1.600000024E0,1.770000076E1
2.950716900E1,6.778346667E1,2.482324333E1,2.486813785E2,9.414269328E-1,3.171799927E2,1.500000000E0,1.689999962E1
3.050870246E1,6.778347000E1,2.482321833E1,2.485813408E2,8.935577869E-1,2.900000000E2,1.500000000E0,1.480000019E1
3.150788031E1,6.778347167E1,2.482319500E1,2.483813089E2,8.724541664E-1,2.971099854E2,1.500000000E0,1.430000019E1
3.250866154E1,6.778347167E1,2.482316500E1,2.482812730E2,8.580419421E-1,2.883099976E2,1.500000000E0,1.380000019E1
3.350906185E1,6.778347500E1,2.482313500E1,2.481812293E2,8.379677534E-1,2.885799866E2,1.500000000E0,1.389999962E1
3.450877231E1,6.778348000E1,2.482310167E1,2.480811776E2,8.549535871E-1,2.838200073E2,1.500000000E0,1.419999981E1
3.550850931E1,6.778348500E1,2.482306833E1,2.478811259E2,9.059110880E-1,2.729200134E2,1.600000024E0,1.400000000E1
3.650883146E1,6.778349000E1,2.482303000E1,2.477810683E2,9.306177497E-1,2.816700134E2,1.600000024E0,1.110000038E1
3.750902593E1,6.778349500E1,2.482300167E1,2.473810226E2,9.553244710E-1,3.010700073E2,1.600000024E0,1.080000019E1
3.850895416E1,6.778350000E1,2.482297167E1,2.469809749E2,9.656189084E-1,2.888099976E2,1.600000024E0,1.089999962E1
3.950913762E1,6.778350333E1,2.482293667E1,2.463809251E2,9.846636057E-1,2.884400024E2,1.600000024E0,1.069999981E1
4.050843823E1,6.778350667E1,2.482290833E1,2.456808834E2,9.887813926E-1,3.270299988E2,1.600000024E0,1.080000019E1
4.150900523E1,6.778350333E1,2.482287333E1,2.450808494E2,9.862077832E-1,2.947699890E2,1.600000024E0,1.130000019E1
4.250890439E1,6.778350167E1,2.482283667E1,2.445808094E2,1.003708363E0,2.775899963E2,1.500000000E0,1.110000038E1
4.350850500E1,6.778350000E1,2.482280333E1,2.438807735E2,1.008340836E0,2.634700012E2,1.600000024E0,1.100000000E1
4.451086100E1,6.778349833E1,2.482277167E1,2.433807395E2,1.001134753E0,2.625100098E2,1.600000024E0,1.119999981E1
4.551085916E1,6.778349833E1,2.482274667E1,2.428807096E2,9.486330748E-1,2.661900024E2,1.600000024E0,1.180000019E1
4.650835916E1,6.778349833E1,2.482272000E1,2.424806777E2,9.594421983E-1,2.661000061E2,1.600000024E0,1.130000019E1
4.750889385E1,6.778350000E1,2.482268500E1,2.421806319E2,9.748839140E-1,2.724100037E2,1.600000024E0,1.139999962E1
4.850883977E1,6.778350000E1,2.482265167E1,2.418805920E2,9.398827553E-1,2.807399902E2,1.600000024E0,1.150000000E1
4.950847977E1,6.778350000E1,2.482262167E1,2.414805561E2,9.321619272E-1,2.968800049E2,1.600000024E0,1.160000038E1
5.050907354E1,6.778350333E1,2.482259667E1,2.410805183E2,9.254705310E-1,3.105899963E2,1.600000024E0,1.210000038E1
5.150908100E1,6.778350500E1,2.482257000E1,2.405804825E2,9.342208505E-1,2.903999939E2,1.500000000E0,1.169999981E1
5.251113423E1,6.778350500E1,2.482254333E1,2.399804506E2,9.198086262E-1,2.938500061E2,1.500000000E0,1.160000038E1
5.350839047E1,6.778350667E1,2.482251167E1,2.396804087E2,9.172350168E-1,2.852500000E2,1.500000000E0,1.019999981E1
5.450894993E1,6.778350833E1,2.482248833E1,2.394803769E2,8.992197514E-1,2.911499939E2,1.500000000E0,1.050000000E1
5.550835508E1,6.778351167E1,2.482246000E1,2.395803351E2,8.899547458E-1,2.834299927E2,1.500000000E0,1.030000019E1
5.650901393E1,6.778351167E1,2.482242500E1,2.394802933E2,8.904694319E-1,2.828999939E2,1.500000000E0,1.039999962E1
5.751056462E1,6.778351167E1,2.482239167E1,2.392802534E2,8.616449833E-1,2.767000122E2,1.600000024E0,1.010000038E1
5.850830185E1,6.778351333E1,2.482235833E1,2.387802096E2,8.781161308E-1,2.763999939E2,1.600000024E0,1.000000000E1
5.950898924E1,6.778351500E1,2.482232833E1,2.387801697E2,8.508358598E-1,2.775299988E2,1.600000024E0,1.030000019E1
6.050859146E1,6.778352167E1,2.482229667E1,2.384801161E2,8.868663907E-1,2.880100098E2,1.600000024E0,1.000000000E1
6.150822100E1,6.778352500E1,2.482226000E1,2.382800644E2,9.141466618E-1,2.866300049E2,1.600000024E0,1.019999981E1
6.250905577E1,6.778352667E1,2.482222167E1,2.382800146E2,9.604716897E-1,2.769899902E2,1.600000024E0,1.010000038E1
6.350994370E1,6.778352667E1,2.482219000E1,2.381799767E2,0.000000000E0,2.769899902E2,1.600000024E0,1.069999981E1
6.450832431E1,6.778352667E1,2.482215500E1,2.377799348E2,0.000000000E0,2.523200073E2,1.600000024E0,1.000000000E1
6.550883393E1,6.778352667E1,2.482212500E1,2.374798989E2,9.856930375E-1,2.632799988E2,1.600000024E0,8.800000191E0
6.650905608E1,6.778352667E1,2.482209500E1,2.372798630E2,1.000105262E0,2.655299988E2,1.600000024E0,9.000000000E0
6.750891908E1,6.778352833E1,2.482206833E1,2.370798272E2,1.004223108E0,2.635299988E2,1.600000024E0,9.199999809E0
6.850948031E1,6.778353000E1,2.482203167E1,2.366797794E2,1.017091155E0,2.634500122E2,1.600000024E0,8.899999619E0
6.951105670E1,6.778353167E1,2.482200000E1,2.364797376E2,1.030988574E0,2.379600067E2,1.500000000E0,8.800000191E0
7.050918777E1,6.778353167E1,2.482196833E1,2.365796997E2,1.084004998E0,2.579200134E2,1.600000024E0,8.699999809E0
7.150810954E1,6.778353333E1,2.482193500E1,2.361796559E2,1.111799955E0,2.641000061E2,1.700000048E0,9.199999809E0
7.251106616E1,6.778353333E1,2.482190500E1,2.364796200E2,1.075254679E0,2.523600006E2,1.799999952E0,8.800000191E0
7.350875662E1,6.778353500E1,2.482188167E1,2.366795881E2,1.036650538E0,2.717999878E2,1.899999976E0,9.000000000E0
7.450848462E1,6.778353833E1,2.482185167E1,2.365795444E2,1.115917802E0,2.927900085E2,1.899999976E0,8.600000381E0
7.550938370E1,6.778354833E1,2.482181000E1,2.365794709E2,1.110255837E0,2.817300110E2,1.700000048E0,7.900000095E0
7.650834616E1,6.778355333E1,2.482177833E1,2.363794213E2,1.144227505E0,2.892399902E2,1.600000024E0,8.300000191E0
7.750853754E1,6.778355833E1,2.482173667E1,2.361793596E2,1.124668002E0,2.895100098E2,1.700000048E0,8.300000191E0
7.850855416E1,6.778356167E1,2.482171000E1,2.358793198E2,1.149374723E0,2.759200134E2,1.600000024E0,8.500000000E0
7.950830439E1,6.778356333E1,2.482167333E1,2.354792720E2,1.156066060E0,2.638500061E2,1.600000024E0,8.500000000E0
8.050887108E1,6.778356500E1,2.482163667E1,2.355792242E2,1.139080286E0,2.681000061E2,1.600000024E0,8.600000381E0
8.150893047E1,6.778356500E1,2.482159667E1,2.357791764E2,1.139595032E0,2.640599976E2,1.600000024E0,8.300000191E0
8.250891385E1,6.778356500E1,2.482155833E1,2.366791305E2,1.206508875E0,2.734700012E2,1.700000048E0,8.500000000E0
8.350909539E1,6.778356500E1,2.482151667E1,2.373790807E2,1.242539406E0,2.649100037E2,1.600000024E0,8.399999619E0
8.451077485E1,6.778356333E1,2.482149000E1,2.375790527E2,1.207023621E0,2.607000122E2,1.600000024E0,8.399999619E0
8.550840431E1,6.778356167E1,2.482145833E1,2.374790187E2,1.165845871E0,2.446300049E2,1.700000048E0,8.600000381E0
8.650880616E1,6.778355833E1,2.482144167E1,2.372790066E2,1.110770583E0,2.678299866E2,1.700000048E0,8.600000381E0
8.750918931E1,6.778355833E1,2.482142500E1,2.368789867E2,1.117461920E0,2.645199890E2,1.700000048E0,9.000000000E0
8.850830001E1,6.778355833E1,2.482140000E1,2.364789568E2,1.087608099E0,2.574700012E2,1.600000024E0,9.100000381E0
8.950830870E1,6.778356167E1,2.482137833E1,2.361789230E2,1.051577449E0,2.668999939E2,1.600000024E0,9.000000000E0
9.050911785E1,6.778356167E1,2.482135500E1,2.357788951E2,1.018635273E0,2.824800110E2,1.600000024E0,9.100000381E0
9.150871724E1,6.778356333E1,2.482132500E1,2.352788553E2,9.445152879E-1,2.781700134E2,1.600000024E0,8.899999619E0
9.251036001E1,6.778356333E1,2.482129500E1,2.348788194E2,8.791455626E-1,2.759400024E2,1.500000000E0,9.000000000E0
9.350910954E1,6.778356500E1,2.482127167E1,2.344787875E2,8.312764168E-1,2.802300110E2,1.500000000E0,8.899999619E0
9.450858593E1,6.778356500E1,2.482124833E1,2.340787596E2,7.808336020E-1,2.790599976E2,1.500000000E0,9.100000381E0
9.550885170E1,6.778356500E1,2.482121500E1,2.338787197E2,8.024519682E-1,2.755499878E2,1.600000024E0,9.300000191E0
9.650901016E1,6.778356667E1,2.482118000E1,2.334786739E2,8.426002860E-1,2.897200012E2,1.500000000E0,9.300000191E0
9.750851354E1,6.778357167E1,2.482114833E1,2.333786242E2,8.812044263E-1,2.929899902E2,1.500000000E0,9.199999809E0
9.851017847E1,6.778357500E1,2.482112167E1,2.336785845E2,8.894400001E-1,2.873099976E2,1.600000024E0,9.199999809E0
9.950880001E1,6.778358167E1,2.482110000E1,2.337785428E2,9.249558449E-1,2.807699890E2,1.600000024E0,9.300000191E0
1.005089545E2,6.778359000E1,2.482107500E1,2.337784933E2,9.285588861E-1,2.968599854E2,1.600000024E0,9.399999619E0
1.015080419E2,6.778359833E1,2.482105167E1,2.335784457E2,9.697366953E-1,3.038900146E2,1.500000000E0,9.500000000E0
1.025089875E2,6.778360500E1,2.482102000E1,2.334783921E2,1.003708363E0,3.057099915E2,1.500000000E0,9.399999619E0
1.035092431E2,6.778361500E1,2.482099667E1,2.335783406E2,1.025841355E0,3.048900146E2,1.500000000E0,9.500000000E0
1.045088967E2,6.778362333E1,2.482098000E1,2.332783010E2,1.049003839E0,3.041099854E2,1.600000024E0,9.600000381E0
1.055107022E2,6.778363000E1,2.482096167E1,2.328782634E2,1.072166443E0,3.111099854E2,1.600000024E0,9.699999809E0
1.065087124E2,6.778363833E1,2.482093667E1,2.327782138E2,1.088637471E0,2.917300110E2,1.600000024E0,9.600000381E0
1.075085115E2,6.778364500E1,2.482090833E1,2.329781642E2,1.087093353E0,2.858800049E2,1.600000024E0,9.100000381E0
1.085089238E2,6.778364667E1,2.482087667E1,2.327781224E2,1.088637471E0,2.785700073E2,1.600000024E0,9.199999809E0
1.095083333E2,6.778365000E1,2.482085167E1,2.326780846E2,1.059813023E0,2.677500000E2,1.600000024E0,9.000000000E0
1.105089592E2,6.778365333E1,2.482082833E1,2.327780488E2,1.073710561E0,2.692200012E2,1.600000024E0,9.199999809E0
1.115092074E2,6.778365667E1,2.482080167E1,2.323780091E2,1.078857780E0,2.613200073E2,1.600000024E0,8.899999619E0
1.125102566E2,6.778366167E1,2.482077333E1,2.320779634E2,1.087608099E0,2.946600037E2,1.600000024E0,8.800000191E0
1.135084576E2,6.778366500E1,2.482074500E1,2.316779216E2,1.063416123E0,2.880400085E2,1.600000024E0,8.899999619E0
1.145088152E2,6.778366833E1,2.482072500E1,2.313778898E2,1.041283011E0,2.927000122E2,1.600000024E0,8.899999619E0
1.155082289E2,6.778367333E1,2.482070167E1,2.309778501E2,1.017605782E0,2.944899902E2,1.600000024E0,9.000000000E0
1.165088352E2,6.778367667E1,2.482067833E1,2.306778144E2,9.723103046E-1,2.979400024E2,1.600000024E0,8.600000381E0
1.175100475E2,6.778368167E1,2.482065667E1,2.303777766E2,9.311324954E-1,2.987399902E2,1.600000024E0,8.899999619E0
1.185083016E2,6.778368667E1,2.482063500E1,2.299777389E2,9.095141888E-1,2.954800110E2,1.600000024E0,8.699999809E0
1.195085382E2,6.778369167E1,2.482060833E1,2.296776952E2,9.048816562E-1,3.048399963E2,1.600000024E0,8.899999619E0
1.205102671E2,6.778369667E1,2.482058667E1,2.290776575E2,8.873811364E-1,2.950799866E2,1.600000024E0,8.899999619E0
1.215085324E2,6.778370000E1,2.482056000E1,2.286776178E2,8.750277758E-1,2.846400146E2,1.600000024E0,8.899999619E0
1.225108191E2,6.778370333E1,2.482052667E1,2.283775700E2,8.863516450E-1,2.963500061E2,1.600000024E0,9.300000191E0
1.235091243E2,6.778370500E1,2.482049500E1,2.281775282E2,9.033374786E-1,2.909400024E2,1.600000024E0,9.300000191E0
1.245082677E2,6.778370833E1,2.482046167E1,2.279774805E2,9.146614075E-1,3.039500122E2,1.600000024E0,9.000000000E0
1.255107989E2,6.778371667E1,2.482042833E1,2.279774210E2,9.342208505E-1,3.070000000E2,1.600000024E0,9.000000000E0
1.265089785E2,6.778372333E1,2.482040333E1,2.279773753E2,9.501771927E-1,3.007900085E2,1.600000024E0,8.899999619E0
1.275087776E2,6.778372833E1,2.482037500E1,2.279773296E2,9.923844337E-1,2.988800049E2,1.600000024E0,9.199999809E0
1.285089958E2,6.778373333E1,2.482035167E1,2.274772899E2,1.007826090E0,3.108099976E2,1.600000024E0,9.100000381E0
1.295085948E2,6.778374167E1,2.482033500E1,2.272772504E2,1.037165284E0,3.136499939E2,1.600000024E0,9.399999619E0
1.305083692E2,6.778375167E1,2.482031167E1,2.271771989E2,1.065474987E0,3.022799988E2,1.600000024E0,9.600000381E0
1.315085123E2,6.778376167E1,2.482028167E1,2.268771394E2,1.079372525E0,2.995799866E2,1.600000024E0,9.600000381E0
1.325090695E2,6.778377000E1,2.482027333E1,2.267771098E2,1.065989733E0,3.208299866E2,1.600000024E0,9.899999619E0
1.335083465E2,6.778378333E1,2.482025500E1,2.266770564E2,1.101505518E0,3.347699890E2,1.600000024E0,9.800000191E0
1.345084047E2,6.778379500E1,2.482024333E1,2.265770150E2,1.121065021E0,3.364500122E2,1.600000024E0,9.899999619E0
1.355109715E2,6.778380500E1,2.482023500E1,2.265769814E2,1.100476146E0,3.346000061E2,1.600000024E0,1.019999981E1
1.365089069E2,6.778381333E1,2.482022000E1,2.266769438E2,1.080401897E0,3.359599915E2,1.600000024E0,1.000000000E1
1.375084911E2,6.778382167E1,2.482020667E1,2.265769082E2,1.032532811E0,3.483800049E2,1.600000024E0,1.080000019E1
1.385092970E2,6.778383167E1,2.482020000E1,2.262768767E2,1.036650538E0,3.481099854E2,1.500000000E0,1.069999981E1
1.395086432E2,6.778384167E1,2.482019833E1,2.257768511E2,1.018635273E0,3.465100098E2,1.600000024E0,1.069999981E1
1.405095899E2,6.778385000E1,2.482018500E1,2.254768155E2,9.985610843E-1,3.311400146E2,1.600000024E0,1.130000019E1
1.415102674E2,6.778386000E1,2.482017167E1,2.254767760E2,9.836341739E-1,3.301900024E2,1.600000024E0,1.039999962E1
1.425099179E2,6.778386833E1,2.482015833E1,2.255767404E2,9.584127665E-1,3.490499878E2,1.600000024E0,1.080000019E1
1.435099385E2,6.778387500E1,2.482015167E1,2.253767167E2,9.033374786E-1,3.405400085E2,1.600000024E0,1.039999962E1
1.445097775E2,6.778388500E1,2.482015000E1,2.254766912E2,8.832633495E-1,3.477300110E2,1.600000024E0,1.060000038E1
1.455096709E2,6.778389667E1,2.482015167E1,2.255766657E2,9.285588861E-1,6.409999847E0,1.600000024E0,1.050000000E1
1.465093711E2,6.778391000E1,2.482014500E1,2.255766262E2,9.409122467E-1,1.043999958E1,1.600000024E0,1.039999962E1
1.475096175E2,6.778391833E1,2.482014000E1,2.256766006E2,9.558391571E-1,3.561700134E2,1.500000000E0,9.100000381E0
1.485094222E2,6.778392833E1,2.482013167E1,2.253765671E2,9.311324954E-1,3.597999878E2,1.500000000E0,9.300000191E0
1.495089874E2,6.778393833E1,2.482013333E1,2.254765455E2,9.342208505E-1,3.586799927E2,1.500000000E0,9.699999809E0
1.505093493E2,6.778395000E1,2.482013000E1,2.252765140E2,9.414269328E-1,3.473500061E2,1.600000024E0,1.030000019E1
1.515096019E2,6.778396333E1,2.482012500E1,2.250764766E2,9.681925178E-1,3.515299988E2,1.600000024E0,1.050000000E1
1.525090607E2,6.778397667E1,2.482012500E1,2.250764452E2,1.004223108E0,8.600000143E-1,1.600000024E0,1.060000038E1
1.535096382E2,6.778398667E1,2.482012333E1,2.248764196E2,1.023782492E0,3.537799988E2,1.600000024E0,1.030000019E1
1.545093557E2,6.778399667E1,2.482012000E1,2.246763921E2,1.000105262E0,3.333599854E2,1.600000024E0,1.000000000E1
1.555090767E2,6.778400500E1,2.482012333E1,2.248763764E2,9.373091459E-1,3.465199890E2,1.600000024E0,1.019999981E1
1.565096997E2,6.778401667E1,2.482012833E1,2.249763549E2,9.259852767E-1,2.500000000E0,1.600000024E0,1.060000038E1
1.575096847E2,6.778402833E1,2.482012500E1,2.252763234E2,9.141466618E-1,1.100000024E0,1.600000024E0,1.060000038E1
1.585100145E2,6.778403833E1,2.482012167E1,2.252762958E2,9.043669701E-1,2.480000019E0,1.600000024E0,1.069999981E1
1.595097739E2,6.778404833E1,2.482011833E1,2.253762683E2,8.822339177E-1,3.563800049E2,1.500000000E0,1.030000019E1
1.605096296E2,6.778406333E1,2.482011833E1,2.255762329E2,8.770866394E-1,3.511799927E2,1.500000000E0,1.039999962E1
1.615093742E2,6.778407667E1,2.482011833E1,2.259762015E2,8.781161308E-1,3.490499878E2,1.600000024E0,1.019999981E1
1.625096429E2,6.778409167E1,2.482012000E1,2.264761681E2,8.755425215E-1,3.544400024E2,1.600000024E0,1.010000038E1
1.635094748E2,6.778410500E1,2.482012167E1,2.267761387E2,8.724541664E-1,3.463900146E2,1.600000024E0,1.000000000E1
1.645096739E2,6.778411833E1,2.482012333E1,2.269761093E2,9.285588861E-1,1.639999986E0,1.600000024E0,1.019999981E1
1.655094210E2,6.778413167E1,2.482012500E1,2.271760798E2,9.414269328E-1,9.779999733E0,1.600000024E0,9.699999809E0
1.665094434E2,6.778414333E1,2.482013333E1,2.274760623E2,9.445152879E-1,4.019999981E0,1.600000024E0,1.000000000E1
1.675092600E2,6.778415500E1,2.482014333E1,2.278760468E2,9.275294542E-1,3.504800110E2,1.600000024E0,9.000000000E0
1.685096684E2,6.778416333E1,2.482014000E1,2.277760231E2,9.362797141E-1,3.463999939E2,1.500000000E0,9.000000000E0
1.695086508E2,6.778417500E1,2.482014167E1,2.279759976E2,9.445152879E-1,3.500100098E2,1.500000000E0,9.500000000E0
1.705094422E2,6.778418667E1,2.482014167E1,2.282759701E2,9.203233123E-1,3.524599915E2,1.500000000E0,9.500000000E0
1.715111785E2,6.778419500E1,2.482013667E1,2.283759445E2,8.796602488E-1,3.515599976E2,1.600000024E0,9.300000191E0
1.725083545E2,6.778420500E1,2.482013167E1,2.282759150E2,8.405413628E-1,3.567300110E2,1.600000024E0,9.399999619E0
1.735090025E2,6.778421500E1,2.482012667E1,2.281758854E2,8.441444635E-1,3.563800049E2,1.500000000E0,9.300000191E0
1.745085890E2,6.778422500E1,2.482012667E1,2.281758618E2,8.173788786E-1,3.593500061E2,1.500000000E0,9.699999809E0
1.755082954E2,6.778423500E1,2.482012500E1,2.282758363E2,8.323058486E-1,3.566900024E2,1.500000000E0,9.800000191E0
1.765091955E2,6.778424667E1,2.482012167E1,2.283758048E2,8.317911029E-1,3.582699890E2,1.500000000E0,1.000000000E1
1.775091062E2,6.778425667E1,2.482012000E1,2.282757792E2,8.575271964E-1,3.567300110E2,1.500000000E0,1.010000038E1
1.785081272E2,6.778427000E1,2.482011000E1,2.280757358E2,8.801749945E-1,3.525599976E2,1.600000024E0,1.019999981E1
1.795083563E2,6.778428333E1,2.482010500E1,2.278756984E2,9.033374786E-1,3.525100098E2,1.600000024E0,1.030000019E1
1.805099437E2,6.778429333E1,2.482010500E1,2.279756748E2,9.089994431E-1,3.487000122E2,1.600000024E0,1.050000000E1
1.815083656E2,6.778430167E1,2.482010167E1,2.277756512E2,9.115730524E-1,3.510199890E2,1.600000024E0,1.010000038E1
1.825088687E2,6.778431000E1,2.482010333E1,2.276756336E2,9.455447197E-1,1.451000023E1,1.600000024E0,1.030000019E1
1.835098746E2,6.778431833E1,2.482010667E1,2.277756179E2,9.218674898E-1,3.458399963E2,1.600000024E0,1.030000019E1
1.845085662E2,6.778432500E1,2.482010333E1,2.278755982E2,8.482622504E-1,3.254200134E2,1.600000024E0,9.399999619E0
1.855085363E2,6.778433000E1,2.482010000E1,2.283755824E2,7.885544300E-1,5.400000215E-1,1.500000000E0,8.699999809E0
1.865085493E2,6.778434000E1,2.482009167E1,2.286755489E2,7.926722169E-1,3.809999943E0,1.500000000E0,8.800000191E0
1.875092022E2,6.778435333E1,2.482008000E1,2.290755035E2,8.328205347E-1,3.467699890E2,1.600000024E0,8.899999619E0
1.885088336E2,6.778436500E1,2.482007500E1,2.293754700E2,8.142905831E-1,3.447799988E2,1.600000024E0,8.899999619E0
1.895089696E2,6.778437833E1,2.482007333E1,2.297754366E2,8.050255775E-1,3.545799866E2,1.600000024E0,8.800000191E0
1.905081404E2,6.778439000E1,2.482007500E1,2.300754111E2,8.503211141E-1,1.539999962E0,1.600000024E0,9.000000000E0
1.915083194E2,6.778440167E1,2.482007833E1,2.302753876E2,9.074552655E-1,9.569999695E0,1.600000024E0,8.699999809E0
1.925107472E2,6.778441333E1,2.482008000E1,2.304753621E2,9.043669701E-1,1.409000015E1,1.600000024E0,9.199999809E0
1.935088748E2,6.778442667E1,2.482008833E1,2.309753406E2,9.445152879E-1,1.255000019E1,1.600000024E0,9.300000191E0
1.945092766E2,6.778443833E1,2.482009500E1,2.313753211E2,1.045915604E0,2.529999924E1,1.600000024E0,9.399999619E0
1.955103315E2,6.778444833E1,2.482010167E1,2.314753055E2,1.129300594E0,1.321000004E1,1.600000024E0,8.899999619E0
1.965079809E2,6.778445667E1,2.482009500E1,2.314752779E2,1.185920000E0,3.596099854E2,1.600000024E0,8.500000000E0
1.975091292E2,6.778447000E1,2.482009833E1,2.315752505E2,1.177169681E0,1.340000033E0,1.600000024E0,9.000000000E0
1.985094231E2,6.778448167E1,2.482010333E1,2.315752289E2,1.210626721E0,8.260000229E0,1.600000024E0,9.100000381E0
1.995084114E2,6.778449333E1,2.482012167E1,2.317752234E2,1.246142507E0,2.525000000E1,1.600000024E0,9.199999809E0
2.005086363E2,6.778450333E1,2.482014333E1,2.316752257E2,1.264157772E0,2.668000031E1,1.600000024E0,9.500000000E0
2.015086592E2,6.778451667E1,2.482016000E1,2.317752142E2,1.238936424E0,2.320000076E1,1.600000024E0,9.300000191E0
